step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,alertID
1,DEPOSIT,149.36,41,0.0,0.0,99,0.0,149.36,0,-1
1,CREDIT,92.22,0,0.0,0.0,55,0.0,92.22,0,-1
1,CHECK,92.22,0,0.0,0.0,27,0.0,92.22,0,-1
1,CREDIT,154.02,61,0.0,0.0,67,0.0,154.02,0,-1
1,CHECK,154.02,61,0.0,0.0,79,0.0,154.02,0,-1
1,CHECK,154.02,61,0.0,0.0,4,0.0,154.02,0,-1
1,WIRE,154.02,61,0.0,0.0,6,0.0,154.02,0,-1
1,DEPOSIT,154.02,61,0.0,0.0,40,0.0,154.02,0,-1
1,WIRE,154.02,61,0.0,0.0,96,0.0,154.02,0,-1
1,CHECK,154.02,61,0.0,0.0,74,0.0,154.02,0,-1
1,CREDIT,154.02,61,0.0,0.0,64,0.0,154.02,0,-1
1,DEPOSIT,100.11,40,154.02,53.91,82,0.0,100.11,0,-1
1,CREDIT,181.44,60,0.0,0.0,0,0.0,181.44,0,-1
1,CHECK,181.44,60,0.0,0.0,59,0.0,181.44,0,-1
1,CHECK,181.44,60,0.0,0.0,90,0.0,181.44,0,-1
1,CREDIT,181.44,60,0.0,0.0,71,0.0,181.44,0,-1
1,CREDIT,181.44,60,0.0,0.0,94,0.0,181.44,0,-1
1,WIRE,181.44,60,0.0,0.0,96,154.02,335.47,0,-1
1,CREDIT,181.44,60,0.0,0.0,97,0.0,181.44,0,-1
1,DEPOSIT,181.44,60,0.0,0.0,75,0.0,181.44,0,-1
1,CHECK,181.44,60,0.0,0.0,43,0.0,181.44,0,-1
2,CHECK,308.11,82,100.11,0.0,99,149.36,457.47,0,-1
2,CREDIT,278.26,83,0.0,0.0,88,0.0,278.26,0,-1
2,CHECK,248.77,43,181.44,0.0,33,0.0,248.77,0,-1
2,CHECK,100.11,40,53.91,0.0,82,0.0,100.11,0,-1
2,DEPOSIT,392.76,62,0.0,0.0,46,0.0,392.76,0,-1
2,CREDIT,392.76,62,0.0,0.0,26,0.0,392.76,0,-1
2,DEPOSIT,392.76,62,0.0,0.0,84,0.0,392.76,0,-1
2,WIRE,392.76,62,0.0,0.0,95,0.0,392.76,0,-1
2,DEPOSIT,392.76,62,0.0,0.0,51,0.0,392.76,0,-1
2,DEPOSIT,392.76,62,0.0,0.0,85,0.0,392.76,0,-1
2,CREDIT,392.76,62,0.0,0.0,97,181.44,574.21,0,-1
2,CHECK,392.76,62,0.0,0.0,86,0.0,392.76,0,-1
2,CHECK,392.76,62,0.0,0.0,76,0.0,392.76,0,-1
2,CREDIT,189.82,80,0.0,0.0,77,0.0,189.82,0,-1
2,DEPOSIT,149.36,41,0.0,0.0,99,457.47,606.83,0,-1
2,CREDIT,92.22,0,181.44,89.22,55,92.22,184.44,0,-1
2,CHECK,92.22,0,89.22,0.0,27,92.22,184.44,0,-1
2,DEPOSIT,320.64,63,0.0,0.0,89,0.0,320.64,0,-1
2,CHECK,320.64,63,0.0,0.0,59,181.44,502.09,0,-1
2,CHECK,320.64,63,0.0,0.0,15,0.0,320.64,0,-1
2,DEPOSIT,320.64,63,0.0,0.0,92,0.0,320.64,0,-1
2,WIRE,320.64,63,0.0,0.0,61,0.0,320.64,0,-1
2,DEPOSIT,320.64,63,0.0,0.0,94,181.44,502.09,0,-1
2,CHECK,320.64,63,0.0,0.0,74,154.02,474.67,0,-1
2,DEPOSIT,320.64,63,0.0,0.0,85,392.76,713.41,0,-1
2,WIRE,320.64,63,0.0,0.0,31,0.0,320.64,0,-1
2,CHECK,373.51,42,0.0,0.0,77,189.82,563.33,0,-1
3,DEPOSIT,517.52,64,154.02,0.0,99,606.83,1124.35,0,-1
3,CHECK,517.52,64,0.0,0.0,12,0.0,517.52,0,-1
3,CREDIT,517.52,64,0.0,0.0,79,154.02,671.55,0,-1
3,CREDIT,517.52,64,0.0,0.0,24,0.0,517.52,0,-1
3,CHECK,517.52,64,0.0,0.0,9,0.0,517.52,0,-1
3,CREDIT,517.52,64,0.0,0.0,81,0.0,517.52,0,-1
